Est,DATE,STA,TEMP,SAL,Season,SAND,SILT,CLAY,TOC,DO,pH,mean_annual_SAL,SAL_anomaly
BR,7-Oct-2003,B,27.90499997,15.20999998,Fall,0.1228,0.6377,0.2302,0.88,6.609999992,7.834999986,23.29,8.08
BR,16-Oct-2002,C,24.32499996,13.02999999,Fall,0.37965,0.5136,0.09903,0.56,4.734999992,7.749999993,9.32,-3.71
BR,7-Oct-2003,C,27.72499996,16.53499998,Fall,0.8912,0.08355,0.02206,0.31,8.469999991,8.034999982,23.12,6.58
BR,16-Oct-2002,C,24.32499996,13.02999999,Fall,0.37965,0.5136,0.09903,0.56,4.734999992,7.749999993,9.32,-3.71
BR,7-Oct-2003,C,27.72499996,16.53499998,Fall,0.8912,0.08355,0.02206,0.31,8.469999991,8.034999982,23.12,6.58
BR,16-Oct-2002,C,24.32499996,13.02999999,Fall,0.37965,0.5136,0.09903,0.56,4.734999992,7.749999993,9.32,-3.71
BR,7-Oct-2003,C,27.72499996,16.53499998,Fall,0.8912,0.08355,0.02206,0.31,8.469999991,8.034999982,23.12,6.58
CB,8-Jan-2002,A,10.61999999,25.59499997,Winter,0.4286,0.3085,0.19035,0.36,9.774999976,8.149999991,25.14,-0.46
CB,9-Jan-2003,A,15.38,25.11499998,Winter,0.4286,0.3085,0.19035,0.36,8.564999983,8.154999986,26.09,0.97
CB,8-Jan-2002,A,10.61999999,25.59499997,Winter,0.4286,0.3085,0.19035,0.36,9.774999976,8.149999991,24.24,-1.35
CB,9-Jan-2003,A,15.38,25.11499998,Winter,0.4286,0.3085,0.19035,0.36,8.564999983,8.154999986,26.93,1.81
CB,8-Jan-2002,A,10.61999999,25.59499997,Winter,0.4286,0.3085,0.19035,0.36,9.774999976,8.149999991,24.24,-1.35
CB,9-Jan-2003,A,15.38,25.11499998,Winter,0.4286,0.3085,0.19035,0.36,8.564999983,8.154999986,26.93,1.81
CB,8-Jan-2002,B,11.09999998,26.78499997,Winter,0.4122,0.38055,0.20375,0.52,9.534999982,7.93999999,20.53,-6.25
CB,9-Jan-2003,B,14.88499999,25.18499997,Winter,0.4122,0.38055,0.20375,0.52,8.309999987,8.099999994,24.02,-1.17
CB,8-Jan-2002,B,11.09999998,26.78499997,Winter,0.4122,0.38055,0.20375,0.52,9.534999982,7.93999999,21.06,-5.73
CB,9-Jan-2003,B,14.88499999,25.18499997,Winter,0.4122,0.38055,0.20375,0.52,8.309999987,8.099999994,22.84,-2.34
CB,8-Jan-2002,B,11.09999998,26.78499997,Winter,0.4122,0.38055,0.20375,0.52,9.534999982,7.93999999,21.06,-5.73
CB,9-Jan-2003,B,14.88499999,25.18499997,Winter,0.4122,0.38055,0.20375,0.52,8.309999987,8.099999994,22.84,-2.34
CB,8-Jan-2002,C,12.19999999,28.16999996,Winter,0.67645,0.1782,0.133125,0.27,10.46999998,8.234999985,25.34,-2.83
CB,9-Jan-2003,C,15.505,25.83499998,Winter,0.67645,0.1782,0.133125,0.27,7.954999991,8.069999993,25.87,0.04
CB,8-Jan-2002,C,12.19999999,28.16999996,Winter,0.67645,0.1782,0.133125,0.27,10.46999998,8.234999985,25.08,-3.09
CB,9-Jan-2003,C,15.505,25.83499998,Winter,0.67645,0.1782,0.133125,0.27,7.954999991,8.069999993,25.85,0.02
CB,8-Jan-2002,C,12.19999999,28.16999996,Winter,0.67645,0.1782,0.133125,0.27,10.46999998,8.234999985,25.08,-3.09
CB,9-Jan-2003,C,15.505,25.83499998,Winter,0.67645,0.1782,0.133125,0.27,7.954999991,8.069999993,25.85,0.02
CB,12-Apr-2002,A,23.99999997,25.79999995,Spring,0.4286,0.3085,0.19035,0.36,6.989999987,8.069999978,24.24,-1.56
CB,10-Apr-2003,A,14.80499998,27.84999999,Spring,0.4286,0.3085,0.19035,0.36,7.869999982,7.789999992,26.93,-0.92
CB,12-Apr-2002,A,23.99999997,25.79999995,Spring,0.4286,0.3085,0.19035,0.36,6.989999987,8.069999978,24.24,-1.56
CB,10-Apr-2003,A,14.80499998,27.84999999,Spring,0.4286,0.3085,0.19035,0.36,7.869999982,7.789999992,26.93,-0.92
CB,12-Apr-2002,A,23.99999997,25.79999995,Spring,0.4286,0.3085,0.19035,0.36,6.989999987,8.069999978,24.24,-1.56
CB,10-Apr-2003,A,14.80499998,27.84999999,Spring,0.4286,0.3085,0.19035,0.36,7.869999982,7.789999992,26.93,-0.92
CB,12-Apr-2002,B,23.53999999,25.36499995,Spring,0.4122,0.38055,0.20375,0.52,6.884999998,8.089999989,21.06,-4.31
CB,10-Apr-2003,B,14.74499999,28.10999998,Spring,0.4122,0.38055,0.20375,0.52,8.094999984,7.794999994,22.84,-5.27
CB,12-Apr-2002,B,23.53999999,25.36499995,Spring,0.4122,0.38055,0.20375,0.52,6.884999998,8.089999989,21.06,-4.31
CB,10-Apr-2003,B,14.74499999,28.10999998,Spring,0.4122,0.38055,0.20375,0.52,8.094999984,7.794999994,22.84,-5.27
CB,12-Apr-2002,B,23.53999999,25.36499995,Spring,0.4122,0.38055,0.20375,0.52,6.884999998,8.089999989,21.06,-4.31
CB,10-Apr-2003,B,14.74499999,28.10999998,Spring,0.4122,0.38055,0.20375,0.52,8.094999984,7.794999994,22.84,-5.27
CB,12-Apr-2002,C,23.87499997,24.07499996,Spring,0.67645,0.1782,0.133125,0.27,7.184999995,8.089999989,25.08,1.01
CB,10-Apr-2003,C,15.43499999,28,Spring,0.67645,0.1782,0.133125,0.27,8.189999998,7.904999994,25.85,-2.15
CB,12-Apr-2002,C,23.87499997,24.07499996,Spring,0.67645,0.1782,0.133125,0.27,7.184999995,8.089999989,25.08,1.01
CB,10-Apr-2003,C,15.43499999,28,Spring,0.67645,0.1782,0.133125,0.27,8.189999998,7.904999994,25.85,-2.15
CB,12-Apr-2002,C,23.87499997,24.07499996,Spring,0.67645,0.1782,0.133125,0.27,7.184999995,8.089999989,25.08,1.01
CB,10-Apr-2003,C,15.43499999,28,Spring,0.67645,0.1782,0.133125,0.27,8.189999998,7.904999994,25.85,-2.15
CB,9-Jul-2002,A,29.37999997,23.10499996,Summer,0.4286,0.3085,0.19035,0.36,6.104999997,8.004999988,24.24,1.14
